id,trueTheta,user,category,estimateTheta
48,-2.0,1,[1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 3, 2, 2, 1, 1, 2, 2, 2, 3, 3, 2, 1, 2, 2, 2, 2, 4, 2, 5, 3, 3, 3, 2, 4, 2, 3, 3, 3, 2, 3, 3, 2],-0.5833049971501121
96,-2.0,1,[1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 2, 4, 2, 4, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2, 4],-0.14399191813692966
144,-2.0,1,[2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 3, 4, 3, 2, 2, 3, 4, 2, 3, 3, 3, 3, 2, 2, 3, 2, 2],-0.5416529857943322
192,-2.0,1,[1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 5, 1, 2, 1, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 3, 4, 4, 3, 3, 2, 3, 4, 3, 4, 5],-0.24595498241891958
240,-2.0,1,[1, 1, 2, 1, 2, 5, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 4, 2, 2, 3, 4, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 4, 3, 4, 3, 3],-0.13688424149359643
288,-2.0,1,[2, 2, 2, 1, 1, 2, 1, 1, 4, 2, 1, 2, 1, 2, 2, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 4, 2, 2, 3, 4, 3, 3, 2, 4, 3, 3, 4, 2, 3, 3, 4, 3],-0.15035781897457282
336,-2.0,1,[2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 3, 1, 3, 2, 1, 2, 2, 3, 1, 3, 2, 2, 2, 2, 3, 3, 3, 2, 2, 3, 2, 3, 3, 2, 2, 5, 4, 3, 4, 3],-0.24386922501915692
384,-2.0,1,[2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 2, 3, 3, 4, 2, 4],-0.5702879808074399
432,-2.0,1,[1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1, 1, 2, 3, 3, 2, 2, 3, 2, 3, 2],-0.8532673864738841
480,-2.0,1,[1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 3, 2, 2, 3, 2, 2, 1, 3, 2, 2, 3, 3, 1, 2, 2, 2, 1, 5, 3, 2, 3, 2, 3, 3, 3, 2, 2, 3, 4, 3, 3],-0.3455853144093901
528,-2.0,1,[1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 1, 2, 4, 3, 3, 2, 2, 2, 3, 4, 3, 3, 3, 2, 2, 3, 2, 3, 3, 3, 5],-0.18588758896772772
576,-2.0,1,[2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 3, 2, 2, 1, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 5, 3],-0.2684937971689079
624,-2.0,1,[2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 4, 3, 3, 3, 2, 2, 2, 3],-0.7736841942236933
672,-2.0,1,[1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, 3, 2, 1, 3, 2, 1, 1, 2, 2, 1, 2, 2, 3, 2, 2, 4, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3],-0.47503055512312886
720,-2.0,1,[1, 1, 2, 2, 1, 2, 1, 2, 1, 3, 2, 2, 3, 2, 2, 2, 3, 3, 2, 1, 1, 2, 2, 1, 4, 2, 2, 1, 2, 4, 2, 2, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 2, 3, 4, 3, 5, 3],-0.13537575163395252
768,-2.0,1,[1, 3, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 5, 2, 2, 2, 3, 2, 2, 5, 4],-0.890793053947976
816,-2.0,1,[2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 3, 1, 2, 3, 2, 1, 2, 5, 2, 2, 3, 2, 2, 1, 3, 3, 2, 4, 2, 3, 2, 3, 2, 2, 4, 5, 2, 1, 3, 3, 4, 2, 3, 3, 4, 3],-0.16558136333153095
864,-2.0,1,[2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 4, 2, 4, 4, 3],-0.6542045801354451
912,-2.0,1,[1, 1, 2, 1, 1, 1, 1, 2, 3, 2, 2, 2, 3, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 5, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2],-0.4200525558733392
960,-2.0,1,[2, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 2, 2, 1, 2, 4, 2, 1, 2, 2, 2, 2, 2, 3, 3, 3, 5, 2, 3, 2, 2, 3, 4, 4, 2, 2, 2, 3, 2, 4],-0.4136563907626164
1008,-2.0,1,[2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 3, 1, 2, 2, 3, 2, 2, 3, 3, 5, 2, 4, 2, 3, 4],-0.6103284435066189
1056,-2.0,1,[1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 4, 2, 4, 2, 2, 4, 3, 3, 2, 3, 3, 2, 3, 2],-0.4324885045587712
1104,-2.0,1,[2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 4, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3, 3, 2, 2, 3, 2, 3],-0.4089545056511844
1152,-2.0,1,[1, 1, 2, 3, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 3, 1, 3, 4, 3, 3, 2, 2, 4, 2, 3, 2, 3, 2, 3, 4, 4],-0.17364115427606955
1200,-2.0,1,[2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 4, 1, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 2, 3, 2, 2, 3, 3, 3, 5],-0.4400523292154152
1248,-2.0,1,[1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 1, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 4, 2, 5, 3, 3, 2, 2],-0.767275339302294
1296,-2.0,1,[1, 1, 1, 1, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 3, 4, 2, 2, 2, 2, 2],-0.5966351299835049
1344,-2.0,1,[1, 2, 1, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 2],-0.4411298623900082
1392,-2.0,1,[2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 3, 2, 3, 1, 3, 2, 2, 2, 2, 1, 2, 3, 3, 2, 2, 2, 2, 2, 4, 1, 3, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3],-0.3768486234456171
1440,-2.0,1,[1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 3, 2, 3, 3, 3, 2, 2, 1, 4, 2, 4, 3, 4, 4, 4],-0.6337931912104883
1488,-2.0,1,[2, 2, 1, 3, 2, 2, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 3, 2, 3, 1, 3, 2, 3, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 4, 2, 2],-0.4538264973640797
1536,-2.0,1,[1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 4, 3, 3, 2, 3, 2, 3, 1, 3, 5, 4, 2, 3, 3, 3],-0.3860445271917635
1584,-2.0,1,[2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 5, 3, 2, 2, 1, 1, 3, 2, 2, 4, 3, 2, 4, 3, 3, 2, 3, 3, 4, 2, 3],-0.279513882342657
1632,-2.0,1,[2, 1, 2, 2, 3, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 3, 2, 2, 3, 1, 2, 2, 1, 3, 2, 1, 1, 2, 2, 2, 4, 3, 2, 3, 2, 3, 2, 2, 3, 3, 3, 4, 3, 4, 5, 4],-0.31914901824320535
1680,-2.0,1,[2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 3, 2, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 2, 2, 2, 3, 3, 3],-0.41565912603198024
1728,-2.0,1,[1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 3, 2, 1, 3, 2, 2, 3, 2, 2, 2, 2, 4, 3, 4, 3, 3, 3, 2, 2, 5, 3, 3, 2, 4, 2, 4, 3, 3],-0.3139775118297641
1776,-2.0,1,[1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 3, 2, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 3],-0.5189570414876736
1824,-2.0,1,[2, 1, 2, 1, 2, 3, 2, 1, 2, 1, 1, 1, 2, 2, 4, 2, 2, 2, 1, 1, 2, 3, 1, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 4, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 3],-0.4547718456541458
1872,-2.0,1,[1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3],-0.7957206645474085
