id,trueTheta,user,category,estimateTheta
30,-2.0,1,[4, 0, 2, 1, 2, 1, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 3, 1, 0, 2, 0],-1.844585175647985
60,-2.0,1,[0, 0, 2, 0, 0, 2, 0, 4, 2, 0, 2, 0, 4, 1, 0, 2, 0, 0, 0, 0, 3, 3, 0, 1, 2, 0, 0, 1, 0, 2],-1.8722620938691803
90,-2.0,1,[0, 0, 0, 1, 1, 1, 2, 0, 1, 1, 1, 1, 3, 0, 2, 2, 2, 3, 0, 2, 0, 1, 1, 0, 2, 1, 0, 0, 2, 1],-1.7511246574923438
120,-2.0,1,[1, 2, 0, 1, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 1, 2, 0, 2, 1, 0, 0, 0, 0],-2.101577812798632
150,-2.0,1,[1, 1, 2, 0, 2, 1, 2, 3, 2, 0, 2, 1, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 4, 1],-1.7783063192029254
180,-2.0,1,[1, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 2, 0, 0, 0, 2, 0, 1, 4, 2, 2, 0, 0, 1, 0, 0, 0, 2, 1, 2],-1.9896066935664412
210,-2.0,1,[0, 0, 0, 1, 2, 1, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2],-2.2521514016556936
240,-2.0,1,[0, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 0, 3, 2, 1, 1, 0, 0, 0, 2, 0, 1, 2, 1, 2, 1, 2, 0, 0, 0],-1.9182273528318838
270,-2.0,1,[0, 0, 2, 2, 2, 0, 1, 0, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 2, 0, 0, 1, 3, 0, 2, 0, 0, 0, 2, 1],-1.9840078164786128
300,-2.0,1,[0, 1, 0, 2, 2, 1, 1, 2, 1, 0, 1, 1, 1, 2, 2, 2, 0, 0, 1, 0, 1, 1, 0, 0, 2, 2, 0, 0, 0, 2],-1.8025010516349298
330,-1.0,2,[1, 2, 3, 2, 1, 3, 1, 3, 2, 3, 1, 1, 2, 2, 3, 0, 0, 0, 4, 2, 0, 3, 2, 2, 1, 1, 1, 3, 4, 3],-0.9616060184133456
360,-1.0,2,[2, 2, 3, 2, 0, 2, 2, 2, 2, 0, 2, 3, 1, 2, 1, 2, 1, 3, 2, 3, 2, 2, 1, 0, 0, 2, 0, 3, 2, 2],-1.0730745320848716
390,-1.0,2,[0, 1, 0, 2, 2, 2, 3, 3, 0, 1, 5, 2, 2, 2, 2, 1, 3, 3, 2, 3, 2, 0, 3, 1, 2, 2, 0, 2, 2, 3],-1.025122307970971
